,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
5754,2017.0,11C092,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C092,3,20,"64,95","99,23",95,3,"6,7","6,64","17,46",971,3,4,3,"3,93","2,1","1,83","7,05","0,31","44,14"
5755,2017.0,11C093,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C093,6,45,"65,5","83,43",181,4,"19,11","15,94","17,08",358,4,16,8,"8,84","2,87","5,97","13,26","2,23","254,21"
5756,2017.0,11C094,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C094,11,101,"65,03","84,08",223,5,"36,72","30,88","16,68",257,16,28,27,"15,05","3,95","11,1","19,18","10,51","953,51"
5757,2017.0,11C09J,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C09J,0,0,"65,18",,0,0,0,0,"14,25",2439,0,0,2,"1,46","1,2","0,26","1,49","0,08",0
5758,2017.0,11K021,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K021,1,5,"61,33","306,3",273,1,"2,22","6,79","19,97",1753,1,2,115,"3,29","1,31","1,97","5,07","6,56","46,08"
5759,2017.0,11K022,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K022,3,23,"64,6","80,83",64,3,"8,96","7,24","18,36",2287,3,7,104,"5,5","1,66","3,84","8,7","4,55","52,41"
5760,2017.0,11K023,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K023,5,36,"68,97","70,47",146,4,"15,77","11,11","15,94",2344,4,13,286,"8,78","1,95","6,83","13,32","12,2","123,53"
5761,2017.0,11K024,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K024,8,57,"68,03","78,28",302,5,"24,73","19,36","15,25",1875,14,20,463,"13,94","2,4","11,54","17,9","24,69","374,69"
5762,2017.0,11K02J,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K02J,0,0,69,,0,0,0,0,"16,36",2959,0,0,11,"1,52","1,04","0,48","2,8","0,37",0
5763,2017.0,11K03Z,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K03Z,0,1,"54,05","160,11",1,0,"0,28","0,45","22,84",4564,0,0,1,"2,17","1,53","0,64","0,97","0,02","0,2"
5764,2017.0,11K04Z,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11K04Z,0,1,"58,71","216,5",1,0,"0,18","0,38","18,97",1148,0,0,0,"1,67","1,05","0,62","1,25",0,"0,15"
